p_match,inns,bat,p_bat,team_bat,bowl,p_bowl,team_bowl,ball,ball_id,outcome,score,out,dismissal,p_out,over,noball,wide,byes,legbyes,cur_bat_runs,cur_bat_bf,cur_bowl_ovr,cur_bowl_wkts,cur_bowl_runs,inns_runs,inns_wkts,inns_balls,inns_runs_rem,inns_balls_rem,inns_rr,inns_rrr,target,max_balls,date,year,ground,country,winner,toss,competition,bat_hand,bowl_style,bowl_kind,batruns,ballfaced,bowlruns,bat_out,wagonX,wagonY,wagonZone,line,length,shot,control,predscore,wprob
1001349,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,1,0.01,no run,0,False,,5334,1,0,0,0,0,0,1,0.1,0,0,0,0,1,,119,0.0,,,120,2017-02-17,2017,Melbourne Cricket Ground,Australia,Sri Lanka,Sri Lanka,T20I,RHB,RF,pace bowler,0,1,0,True,208,178,3,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,DEFENDED,0.0,-1,-1.0
1001349,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,2,0.02,no run,0,False,,5334,1,0,0,0,0,0,2,0.2,0,0,0,0,2,,118,0.0,,,120,2017-02-17,2017,Melbourne Cricket Ground,Australia,Sri Lanka,Sri Lanka,T20I,RHB,RF,pace bowler,0,1,0,True,243,175,3,ON_THE_STUMPS,GOOD_LENGTH,DEFENDED,1.0,-1,-1.0
1001349,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,3,0.03,run,1,False,,5334,1,0,0,0,0,1,3,0.3,0,1,1,0,3,,117,2.0,,,120,2017-02-17,2017,Melbourne Cricket Ground,Australia,Sri Lanka,Sri Lanka,T20I,RHB,RF,pace bowler,1,1,1,True,189,242,4,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,DEFENDED,0.0,-1,-1.0
1001351,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,3,0.03,no run,0,False,,5334,1,0,0,0,0,0,1,0.3,0,1,1,0,3,,117,2.0,,,120,2017-02-19,2017,"Simonds Stadium, South Geelong, Victoria",Australia,Sri Lanka,Sri Lanka,T20I,RHB,RF,pace bowler,0,1,0,True,166,194,5,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,DEFENDED,1.0,-1,-1.0
1001351,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,4,0.04,four,4,False,,5334,1,0,0,0,0,4,2,0.4,0,5,5,0,4,,116,7.5,,,120,2017-02-19,2017,"Simonds Stadium, South Geelong, Victoria",Australia,Sri Lanka,Sri Lanka,T20I,RHB,RF,pace bowler,4,1,4,True,15,222,6,OUTSIDE_OFFSTUMP,GOOD_LENGTH,CUT_SHOT,1.0,-1,-1.0
1001351,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,5,0.05,leg bye,1,False,,5334,1,0,0,0,1,4,3,0.5,0,5,6,0,5,,115,7.2,,,120,2017-02-19,2017,"Simonds Stadium, South Geelong, Victoria",Australia,Sri Lanka,Sri Lanka,T20I,RHB,RF,pace bowler,0,1,0,True,216,139,2,ON_THE_STUMPS,GOOD_LENGTH,FLICK,0.0,-1,-1.0
1001353,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,1,0.01,no run,0,False,,5334,1,0,0,0,0,0,1,0.1,0,0,0,0,1,,119,0.0,,,120,2017-02-22,2017,Adelaide Oval,Australia,Australia,Sri Lanka,T20I,RHB,RF,pace bowler,0,1,0,True,143,197,6,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,DEFENDED,1.0,-1,-1.0
1001353,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,2,0.02,no run,0,False,,5334,1,0,0,0,0,0,2,0.2,0,0,0,0,2,,118,0.0,,,120,2017-02-22,2017,Adelaide Oval,Australia,Australia,Sri Lanka,T20I,RHB,RF,pace bowler,0,1,0,True,130,187,6,OUTSIDE_OFFSTUMP,GOOD_LENGTH,DEFENDED,1.0,-1,-1.0
1001353,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,3,0.03,no run,0,False,,5334,1,0,0,0,0,0,3,0.3,0,0,0,0,3,,117,0.0,,,120,2017-02-22,2017,Adelaide Oval,Australia,Australia,Sri Lanka,T20I,RHB,RF,pace bowler,0,1,0,True,207,223,4,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,ON_DRIVE,1.0,-1,-1.0
1001353,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,4,0.04,no run,0,False,,5334,1,0,0,0,0,0,4,0.4,0,0,0,0,4,,116,0.0,,,120,2017-02-22,2017,Adelaide Oval,Australia,Australia,Sri Lanka,T20I,RHB,RF,pace bowler,0,1,0,True,144,234,5,ON_THE_STUMPS,GOOD_LENGTH,ON_DRIVE,1.0,-1,-1.0
